model,balancing,class_weight,threshold_mode,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
Logistic Regression,Undersampling,Balanced,recall,0.7650363400161512,0.006976398990648657,0.9591836734693877,0.013852048334806955,0.9757257380301586,0.6537082398235989,43484,13380,4,94
Logistic Regression,SMOTE,None,default,0.988746883887504,0.12239221140472879,0.8979591836734694,0.21542227662178703,0.9765015776991719,0.7302414763446424,56233,631,10,88
Logistic Regression,SMOTE,None,recall,0.8711070538253572,0.01264800861141012,0.9591836734693877,0.0249667994687915,0.9765015776991719,0.7302414763446424,49526,7338,4,94
Logistic Regression,SMOTE,Balanced,default,0.988746883887504,0.12239221140472879,0.8979591836734694,0.21542227662178703,0.9765015776991719,0.7302414763446424,56233,631,10,88
Logistic Regression,SMOTE,Balanced,recall,0.8711070538253572,0.01264800861141012,0.9591836734693877,0.0249667994687915,0.9765015776991719,0.7302414763446424,49526,7338,4,94
Logistic Regression,SMOTE_Tomek,None,default,0.9865699940311085,0.10438908659549229,0.8979591836734694,0.18703506907545164,0.9733678027344872,0.7268248416936619,56109,755,10,88
Logistic Regression,SMOTE_Tomek,None,recall,0.7784839015484006,0.007396915328926661,0.9591836734693877,0.01468061846009683,0.9733678027344872,0.7268248416936619,44250,12614,4,94
Logistic Regression,SMOTE_Tomek,Balanced,default,0.9865699940311085,0.10438908659549229,0.8979591836734694,0.18703506907545164,0.9733678027344872,0.7268248416936619,56109,755,10,88
Logistic Regression,SMOTE_Tomek,Balanced,recall,0.7784839015484006,0.007396915328926661,0.9591836734693877,0.01468061846009683,0.9733678027344872,0.7268248416936619,44250,12614,4,94
Logistic Regression,ClusterCentroids,None,default,0.7611565605140269,0.006719742896793514,0.9387755102040817,0.01334396983102473,0.9684869305065864,0.6243882258871992,43265,13599,6,92
Logistic Regression,ClusterCentroids,None,recall,0.6372669498964222,0.004529683885890517,0.9591836734693877,0.009016786570743405,0.9684869305065864,0.6243882258871992,36206,20658,4,94
Logistic Regression,ClusterCentroids,Balanced,default,0.7611565605140269,0.006719742896793514,0.9387755102040817,0.01334396983102473,0.9684869305065864,0.6243882258871992,43265,13599,6,92
Logistic Regression,ClusterCentroids,Balanced,recall,0.6372669498964222,0.004529683885890517,0.9591836734693877,0.009016786570743405,0.9684869305065864,0.6243882258871992,36206,20658,4,94
Random Forest,None,None,default,0.9995962220427653,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9630272515590367,0.8733910547021404,56859,5,18,80
Random Forest,None,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9630272515590367,0.8733910547021404,0,56864,0,98
Random Forest,None,Balanced,default,0.9995084442259752,0.9605263157894737,0.7448979591836735,0.8390804597701149,0.952908497036969,0.8541999432510914,56861,3,25,73
Random Forest,None,Balanced,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.952908497036969,0.8541999432510914,0,56864,0,98
Random Forest,Undersampling,None,default,0.9640988729328324,0.04231311706629055,0.9183673469387755,0.08089887640449438,0.9776978619951074,0.6952856989622043,54827,2037,8,90
