model,balancing,class_weight,pearson_top,spearman_top,mutual_info_top,model_importance_top,shap_importance_top
Random Forest,SMOTE_Tomek,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V10', 2: 'V4', 3: 'V12', 4: 'V17', 5: 'V3', 6: 'V11', 7: 'V16', 8: 'V2', 9: 'V9'}, 'importance': {0: 0.21101587184222645, 1: 0.12038288521689983, 2: 0.11999117036804549, 3: 0.10576131055580264, 4: 0.08761814848121205, 5: 0.0766351059472899, 6: 0.04921939974411921, 7: 0.040929355926980104, 8: 0.038545866448309284, 9: 0.026024929990264182}}",None
Random Forest,ClusterCentroids,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V2', 2: 'V16', 3: 'V7', 4: 'V6', 5: 'V4', 6: 'V17', 7: 'V11', 8: 'V10', 9: 'Amount'}, 'importance': {0: 0.20214831913777842, 1: 0.15237459623345645, 2: 0.11203300804167547, 3: 0.06656005389157964, 4: 0.06515335544829065, 5: 0.04941850973529993, 6: 0.04697200482460604, 7: 0.04517645065408666, 8: 0.0405040608668302, 9: 0.038403920006039705}}",None
Random Forest,ClusterCentroids,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V2', 2: 'V16', 3: 'V7', 4: 'V6', 5: 'V4', 6: 'V17', 7: 'V11', 8: 'V10', 9: 'Amount'}, 'importance': {0: 0.20214831913777842, 1: 0.15237459623345645, 2: 0.11203300804167547, 3: 0.06656005389157964, 4: 0.06515335544829065, 5: 0.04941850973529993, 6: 0.04697200482460604, 7: 0.04517645065408666, 8: 0.0405040608668302, 9: 0.038403920006039705}}",None
AdaBoost,None,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V17', 1: 'V4', 2: 'V18', 3: 'V14', 4: 'V8', 5: 'V24', 6: 'Amount', 7: 'V26', 8: 'V3', 9: 'V10'}, 'importance': {0: 0.3379760646656395, 1: 0.1295064693452486, 2: 0.07541857049400692, 3: 0.03823207378755595, 4: 0.036903328161007484, 5: 0.03635171703518012, 6: 0.03560400854529004, 7: 0.035099609553022104, 8: 0.034461612696097516, 9: 0.03145809287676488}}",None
AdaBoost,None,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V17', 1: 'V4', 2: 'V18', 3: 'V14', 4: 'V8', 5: 'V24', 6: 'Amount', 7: 'V26', 8: 'V3', 9: 'V10'}, 'importance': {0: 0.3379760646656395, 1: 0.1295064693452486, 2: 0.07541857049400692, 3: 0.03823207378755595, 4: 0.036903328161007484, 5: 0.03635171703518012, 6: 0.03560400854529004, 7: 0.035099609553022104, 8: 0.034461612696097516, 9: 0.03145809287676488}}",None
AdaBoost,Undersampling,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V4', 1: 'V14', 2: 'V7', 3: 'V8', 4: 'V12', 5: 'V19', 6: 'V13', 7: 'V10', 8: 'V26', 9: 'Amount'}, 'importance': {0: 0.13101501903319526, 1: 0.11610367893319821, 2: 0.0589168865131287, 3: 0.05726584315690661, 4: 0.05618225743283373, 5: 0.05443778083677795, 6: 0.05209289538574141, 7: 0.04757518974230472, 8: 0.047503256542711335, 9: 0.046231766988462736}}",None
AdaBoost,Undersampling,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V4', 1: 'V14', 2: 'V7', 3: 'V8', 4: 'V12', 5: 'V19', 6: 'V13', 7: 'V10', 8: 'V26', 9: 'Amount'}, 'importance': {0: 0.13101501903319526, 1: 0.11610367893319821, 2: 0.0589168865131287, 3: 0.05726584315690661, 4: 0.05618225743283373, 5: 0.05443778083677795, 6: 0.05209289538574141, 7: 0.04757518974230472, 8: 0.047503256542711335, 9: 0.046231766988462736}}",None
AdaBoost,SMOTE,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V4', 2: 'V1', 3: 'V11', 4: 'V3', 5: 'V18', 6: 'V16', 7: 'V7', 8: 'V12', 9: 'V9'}, 'importance': {0: 0.19689596584935093, 1: 0.14083302464652567, 2: 0.06006990330194217, 3: 0.05217735055178105, 4: 0.04935861736913498, 5: 0.046072977780351514, 6: 0.04159352026980754, 7: 0.03945046513274848, 8: 0.03601192371180525, 9: 0.034333350617105025}}",None
AdaBoost,SMOTE,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V4', 2: 'V1', 3: 'V11', 4: 'V3', 5: 'V18', 6: 'V16', 7: 'V7', 8: 'V12', 9: 'V9'}, 'importance': {0: 0.19689596584935093, 1: 0.14083302464652567, 2: 0.06006990330194217, 3: 0.05217735055178105, 4: 0.04935861736913498, 5: 0.046072977780351514, 6: 0.04159352026980754, 7: 0.03945046513274848, 8: 0.03601192371180525, 9: 0.034333350617105025}}",None
AdaBoost,SMOTE_Tomek,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V4', 2: 'V11', 3: 'V3', 4: 'V1', 5: 'V16', 6: 'V18', 7: 'V7', 8: 'V15', 9: 'V12'}, 'importance': {0: 0.1917246994444524, 1: 0.15220282947448321, 2: 0.05988857173024425, 3: 0.04829650896506516, 4: 0.04527005262962059, 5: 0.0423901466840804, 6: 0.04142695790362063, 7: 0.03855811038876666, 8: 0.03526275782116976, 9: 0.03523589160691426}}",None
AdaBoost,SMOTE_Tomek,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V4', 2: 'V11', 3: 'V3', 4: 'V1', 5: 'V16', 6: 'V18', 7: 'V7', 8: 'V15', 9: 'V12'}, 'importance': {0: 0.1917246994444524, 1: 0.15220282947448321, 2: 0.05988857173024425, 3: 0.04829650896506516, 4: 0.04527005262962059, 5: 0.0423901466840804, 6: 0.04142695790362063, 7: 0.03855811038876666, 8: 0.03526275782116976, 9: 0.03523589160691426}}",None
AdaBoost,ClusterCentroids,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Amount', 1: 'V13', 2: 'V14', 3: 'V4', 4: 'V24', 5: 'V19', 6: 'V16', 7: 'V11', 8: 'V12', 9: 'V2'}, 'importance': {0: 0.1542191205565923, 1: 0.1051760512470776, 2: 0.09497332624910505, 3: 0.08230892789975106, 4: 0.07121412237252948, 5: 0.0600538859416563, 6: 0.05928893768932903, 7: 0.052509146282473405, 8: 0.04376997582809976, 9: 0.043572518789408037}}",None
AdaBoost,ClusterCentroids,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Amount', 1: 'V13', 2: 'V14', 3: 'V4', 4: 'V24', 5: 'V19', 6: 'V16', 7: 'V11', 8: 'V12', 9: 'V2'}, 'importance': {0: 0.1542191205565923, 1: 0.1051760512470776, 2: 0.09497332624910505, 3: 0.08230892789975106, 4: 0.07121412237252948, 5: 0.0600538859416563, 6: 0.05928893768932903, 7: 0.052509146282473405, 8: 0.04376997582809976, 9: 0.043572518789408037}}",None
